bill_depth_mm,body_mass_g,species
17.3,3600,Chinstrap
19.7,4050,Chinstrap
17.3,3350,Chinstrap
18.8,3450,Chinstrap
16.6,3250,Chinstrap
19.9,4050,Chinstrap
18.8,3800,Chinstrap
19.4,3525,Chinstrap
19.5,3950,Chinstrap
16.5,3650,Chinstrap
17,3650,Chinstrap
19.8,4000,Chinstrap
18.1,3400,Chinstrap
18.2,3775,Chinstrap
19,4100,Chinstrap
18.7,3775,Chinstrap
